    8192 4.13 
   16384 11.13 
   24576 8.32 
   32768 11.25 
   40960 38.07 
   49152 20.01 
   57344 19.41 
   65536 7.47 
   73728 8.20 
   81920 9.84 
   90112 10.16 
   98304 11.05 
  106496 11.97 
  114688 12.95 
  122880 13.85 
  131072 14.82 
  139264 16.45 
  147456 16.56 
  155648 17.44 
